,,,,Resident population at the beginning of the year | persons
,Kaunas county,Males,2016,42500
,,Females,2016,89809
,Birštonas mun.,Males,2016,354
,,Females,2016,798
,Jonava d. mun.,Males,2016,3075
,,Females,2016,6479
,Kaišiadorys d. mun.,Males,2016,2337
,,Females,2016,4601
,Kaunas c. mun.,Males,2016,21677
,,Females,2016,48548
,Kaunas d. mun.,Males,2016,5876
,,Females,2016,10705
,Kėdainiai d. mun.,Males,2016,3905
,,Females,2016,8287
,Prienai d. mun.,Males,2016,2417
,,Females,2016,4679
,Raseiniai d. mun.,Males,2016,2859
,,Females,2016,5712
,Klaipėda county,Males,2016,23640
,,Females,2016,47043
,Klaipėda c. mun.,Males,2016,11194
,,Females,2016,22999
,Klaipėda d. mun.,Males,2016,3410
,,Females,2016,6280
,Kretinga d. mun.,Males,2016,3000
,,Females,2016,5722
,Neringa mun.,Males,2016,182
,,Females,2016,331
,Palanga t. mun.,Males,2016,1291
,,Females,2016,2735
,Skuodas d. mun.,Males,2016,1655
,,Females,2016,3013
,Šilutė d. mun.,Males,2016,2908
,,Females,2016,5963
,Marijampolė county,Males,2016,11196
,,Females,2016,22300
,Kalvarija mun.,Males,2016,759
,,Females,2016,1635
,Kazlų Rūda mun.,Males,2016,966
,,Females,2016,1894
,Marijampolė mun.,Males,2016,3985
,,Females,2016,7969
,Marijampolė d. mun.,Males,2016,
,,Females,2016,
,Šakiai d. mun.,Males,2016,2394
,,Females,2016,4693
,Vilkaviškis d. mun.,Males,2016,3092
,,Females,2016,6109
,Panevėžys county,Males,2016,18721
,,Females,2016,38712
,Biržai d. mun.,Males,2016,2326
,,Females,2016,4684
,Kupiškis d. mun.,Males,2016,1606
,,Females,2016,3224
,Panevėžys c. mun.,Males,2016,6982
,,Females,2016,15489
,Panevėžys d. mun.,Males,2016,3030
,,Females,2016,5399
,Pasvalys d. mun.,Males,2016,2041
,,Females,2016,4238
,Rokiškis d. mun.,Males,2016,2736
,,Females,2016,5678
,Šiauliai county,Males,2016,21237
,,Females,2016,44248
,Akmenė d. mun.,Males,2016,1768
,,Females,2016,3723
,Joniškis d. mun.,Males,2016,1904
,,Females,2016,3820
,Kelmė d. mun.,Males,2016,2594
,,Females,2016,4951
,Pakruojis d. mun.,Males,2016,1701
,,Females,2016,3423
