,,,Economic entities in operation at the beginning of the year | units
,Telšiai d. mun.,2016,99
,Utena county,2016,245
,Anykščiai d. mun.,2016,33
,Ignalina d. mun.,2016,21
,Molėtai d. mun.,2016,38
,Utena d. mun.,2016,91
,Visaginas mun.,2016,30
,Zarasai d. mun.,2016,32
,Vilnius county,2016,3274
,Elektrėnai mun.,2016,48
,Šalčininkai d. mun.,2016,46
,Širvintos d. mun.,2016,32
,Švenčionys d. mun.,2016,34
,Trakai d. mun.,2016,64
,Ukmergė d. mun.,2016,70
,Vilnius c. mun.,2016,2774
,Vilnius d. mun.,2016,206
20–49 employees,Republic of Lithuania,2016,6270
,Alytus county,2016,229
,Alytus t. mun.,2016,100
,Alytus d. mun.,2016,27
,Druskininkai mun.,2016,35
,Lazdijai d. mun.,2016,24
,Varėna d. mun.,2016,43
,Kaunas county,2016,1261
,Birštonas mun.,2016,12
,Jonava d. mun.,2016,64
,Kaišiadorys d. mun.,2016,50
,Kaunas c. mun.,2016,819
,Kaunas d. mun.,2016,161
,Kėdainiai d. mun.,2016,64
,Prienai d. mun.,2016,42
,Raseiniai d. mun.,2016,49
,Klaipėda county,2016,687
,Klaipėda c. mun.,2016,357
,Klaipėda d. mun.,2016,104
,Kretinga d. mun.,2016,65
,Neringa mun.,2016,11
,Palanga t. mun.,2016,44
,Skuodas d. mun.,2016,29
,Šilutė d. mun.,2016,77
,Marijampolė county,2016,238
,Kalvarija mun.,2016,21
,Kazlų Rūda mun.,2016,20
,Marijampolė mun.,2016,107
,Marijampolė d. mun.,2016,
,Šakiai d. mun.,2016,44
,Vilkaviškis d. mun.,2016,46
,Panevėžys county,2016,419
,Biržai d. mun.,2016,46
,Kupiškis d. mun.,2016,35
,Panevėžys c. mun.,2016,197
,Panevėžys d. mun.,2016,67
,Pasvalys d. mun.,2016,28
,Rokiškis d. mun.,2016,46
,Šiauliai county,2016,592
,Akmenė d. mun.,2016,28
,Joniškis d. mun.,2016,43
,Kelmė d. mun.,2016,46
,Pakruojis d. mun.,2016,41
,Radviliškis d. mun.,2016,62
,Šiauliai c. mun.,2016,286
,Šiauliai d. mun.,2016,86
,Tauragė county,2016,161
,Jurbarkas d. mun.,2016,36
,Pagėgiai mun.,2016,15
,Šilalė d. mun.,2016,36
,Tauragė d. mun.,2016,74
,Telšiai county,2016,275
,Mažeikiai d. mun.,2016,110
,Plungė d. mun.,2016,69
,Rietavas mun.,2016,13
,Telšiai d. mun.,2016,83
,Utena county,2016,220
,Anykščiai d. mun.,2016,41
,Ignalina d. mun.,2016,26
,Molėtai d. mun.,2016,40
,Utena d. mun.,2016,63
,Visaginas mun.,2016,32
,Zarasai d. mun.,2016,18
,Vilnius county,2016,2188
,Elektrėnai mun.,2016,34
,Šalčininkai d. mun.,2016,56
,Širvintos d. mun.,2016,35
,Švenčionys d. mun.,2016,33
,Trakai d. mun.,2016,66
,Ukmergė d. mun.,2016,58
,Vilnius c. mun.,2016,1760
,Vilnius d. mun.,2016,146
50–99 employees,Republic of Lithuania,2016,2782
,Alytus county,2016,112
,Alytus t. mun.,2016,52
,Alytus d. mun.,2016,12
,Druskininkai mun.,2016,16
,Lazdijai d. mun.,2016,14
,Varėna d. mun.,2016,18
,Kaunas county,2016,599
,Birštonas mun.,2016,5
,Jonava d. mun.,2016,38
,Kaišiadorys d. mun.,2016,27
,Kaunas c. mun.,2016,372
,Kaunas d. mun.,2016,71
,Kėdainiai d. mun.,2016,36
,Prienai d. mun.,2016,20
,Raseiniai d. mun.,2016,30
,Klaipėda county,2016,277
,Klaipėda c. mun.,2016,165
,Klaipėda d. mun.,2016,31
,Kretinga d. mun.,2016,27
,Neringa mun.,2016,6
,Palanga t. mun.,2016,19
,Skuodas d. mun.,2016,6
,Šilutė d. mun.,2016,23
,Marijampolė county,2016,124
,Kalvarija mun.,2016,6
,Kazlų Rūda mun.,2016,11
,Marijampolė mun.,2016,60
,Marijampolė d. mun.,2016,
,Šakiai d. mun.,2016,22
,Vilkaviškis d. mun.,2016,25
,Panevėžys county,2016,216
,Biržai d. mun.,2016,15
,Kupiškis d. mun.,2016,17
,Panevėžys c. mun.,2016,104
,Panevėžys d. mun.,2016,26
,Pasvalys d. mun.,2016,30
,Rokiškis d. mun.,2016,24
,Šiauliai county,2016,249
,Akmenė d. mun.,2016,15
,Joniškis d. mun.,2016,21
,Kelmė d. mun.,2016,21
,Pakruojis d. mun.,2016,17
,Radviliškis d. mun.,2016,33
,Šiauliai c. mun.,2016,118
,Šiauliai d. mun.,2016,24
,Tauragė county,2016,83
,Jurbarkas d. mun.,2016,17
,Pagėgiai mun.,2016,6
,Šilalė d. mun.,2016,16
,Tauragė d. mun.,2016,44
,Telšiai county,2016,137
,Mažeikiai d. mun.,2016,55
,Plungė d. mun.,2016,36
,Rietavas mun.,2016,8
,Telšiai d. mun.,2016,38
,Utena county,2016,122
,Anykščiai d. mun.,2016,19
,Ignalina d. mun.,2016,15
,Molėtai d. mun.,2016,12
,Utena d. mun.,2016,36
,Visaginas mun.,2016,24
,Zarasai d. mun.,2016,16
,Vilnius county,2016,863
,Elektrėnai mun.,2016,23
,Šalčininkai d. mun.,2016,25
,Širvintos d. mun.,2016,8
,Švenčionys d. mun.,2016,19
,Trakai d. mun.,2016,32
,Ukmergė d. mun.,2016,31
,Vilnius c. mun.,2016,667
,Vilnius d. mun.,2016,58
100–149 employees,Republic of Lithuania,2016,791
,Alytus county,2016,35
,Alytus t. mun.,2016,19
,Alytus d. mun.,2016,
,Druskininkai mun.,2016,9
,Lazdijai d. mun.,2016,2
,Varėna d. mun.,2016,5
,Kaunas county,2016,163
,Birštonas mun.,2016,
,Jonava d. mun.,2016,2
,Kaišiadorys d. mun.,2016,8
,Kaunas c. mun.,2016,109
,Kaunas d. mun.,2016,22
,Kėdainiai d. mun.,2016,13
,Prienai d. mun.,2016,2
,Raseiniai d. mun.,2016,7
,Klaipėda county,2016,99
,Klaipėda c. mun.,2016,61
,Klaipėda d. mun.,2016,12
,Kretinga d. mun.,2016,9
,Neringa mun.,2016,1
,Palanga t. mun.,2016,5
,Skuodas d. mun.,2016,2
,Šilutė d. mun.,2016,9
,Marijampolė county,2016,23
,Kalvarija mun.,2016,1
,Kazlų Rūda mun.,2016,3
,Marijampolė mun.,2016,12
,Marijampolė d. mun.,2016,
,Šakiai d. mun.,2016,5
,Vilkaviškis d. mun.,2016,2
,Panevėžys county,2016,47
,Biržai d. mun.,2016,5
,Kupiškis d. mun.,2016,3
,Panevėžys c. mun.,2016,22
,Panevėžys d. mun.,2016,5
,Pasvalys d. mun.,2016,7
,Rokiškis d. mun.,2016,5
,Šiauliai county,2016,79
,Akmenė d. mun.,2016,7
,Joniškis d. mun.,2016,7
,Kelmė d. mun.,2016,3
,Pakruojis d. mun.,2016,10
,Radviliškis d. mun.,2016,7
,Šiauliai c. mun.,2016,38
,Šiauliai d. mun.,2016,7
,Tauragė county,2016,19
,Jurbarkas d. mun.,2016,6
,Pagėgiai mun.,2016,
,Šilalė d. mun.,2016,5
,Tauragė d. mun.,2016,8
,Telšiai county,2016,31
,Mažeikiai d. mun.,2016,16
,Plungė d. mun.,2016,3
,Rietavas mun.,2016,3
,Telšiai d. mun.,2016,9
,Utena county,2016,28
,Anykščiai d. mun.,2016,5
,Ignalina d. mun.,2016,2
,Molėtai d. mun.,2016,1
,Utena d. mun.,2016,11
,Visaginas mun.,2016,3
,Zarasai d. mun.,2016,6
,Vilnius county,2016,267
,Elektrėnai mun.,2016,5
,Šalčininkai d. mun.,2016,6
,Širvintos d. mun.,2016,3
,Švenčionys d. mun.,2016,5
,Trakai d. mun.,2016,6
,Ukmergė d. mun.,2016,8
,Vilnius c. mun.,2016,217
,Vilnius d. mun.,2016,17
150–249 employees,Republic of Lithuania,2016,486
,Alytus county,2016,30
,Alytus t. mun.,2016,20
,Alytus d. mun.,2016,1
,Druskininkai mun.,2016,3
,Lazdijai d. mun.,2016,2
,Varėna d. mun.,2016,4
,Kaunas county,2016,107
,Birštonas mun.,2016,1
,Jonava d. mun.,2016,5
,Kaišiadorys d. mun.,2016,7
,Kaunas c. mun.,2016,76
,Kaunas d. mun.,2016,7
,Kėdainiai d. mun.,2016,3
,Prienai d. mun.,2016,5
,Raseiniai d. mun.,2016,3
,Klaipėda county,2016,47
,Klaipėda c. mun.,2016,34
,Klaipėda d. mun.,2016,5
,Kretinga d. mun.,2016,3
,Neringa mun.,2016,
,Palanga t. mun.,2016,1
,Skuodas d. mun.,2016,1
,Šilutė d. mun.,2016,3
,Marijampolė county,2016,21
,Kalvarija mun.,2016,
,Kazlų Rūda mun.,2016,1
,Marijampolė mun.,2016,10
,Marijampolė d. mun.,2016,
,Šakiai d. mun.,2016,3
,Vilkaviškis d. mun.,2016,7
,Panevėžys county,2016,30
,Biržai d. mun.,2016,4
,Kupiškis d. mun.,2016,3
,Panevėžys c. mun.,2016,15
,Panevėžys d. mun.,2016,1
,Pasvalys d. mun.,2016,1
,Rokiškis d. mun.,2016,6
,Šiauliai county,2016,29
,Akmenė d. mun.,2016,1
,Joniškis d. mun.,2016,3
,Kelmė d. mun.,2016,2
,Pakruojis d. mun.,2016,1
,Radviliškis d. mun.,2016,2
,Šiauliai c. mun.,2016,17
,Šiauliai d. mun.,2016,3
,Tauragė county,2016,13
,Jurbarkas d. mun.,2016,3
,Pagėgiai mun.,2016,1
,Šilalė d. mun.,2016,4
,Tauragė d. mun.,2016,5
,Telšiai county,2016,11
,Mažeikiai d. mun.,2016,6
,Plungė d. mun.,2016,2
,Rietavas mun.,2016,
,Telšiai d. mun.,2016,3
,Utena county,2016,19
,Anykščiai d. mun.,2016,4
,Ignalina d. mun.,2016,1
,Molėtai d. mun.,2016,4
,Utena d. mun.,2016,7
,Visaginas mun.,2016,2
,Zarasai d. mun.,2016,1
,Vilnius county,2016,179
,Elektrėnai mun.,2016,9
,Šalčininkai d. mun.,2016,2
,Širvintos d. mun.,2016,1
,Švenčionys d. mun.,2016,5
,Trakai d. mun.,2016,3
,Ukmergė d. mun.,2016,9
,Vilnius c. mun.,2016,141
,Vilnius d. mun.,2016,9
250–499 employees,Republic of Lithuania,2016,328
,Alytus county,2016,8
,Alytus t. mun.,2016,4
,Alytus d. mun.,2016,
,Druskininkai mun.,2016,3
,Lazdijai d. mun.,2016,1
,Varėna d. mun.,2016,
,Kaunas county,2016,51
,Birštonas mun.,2016,
,Jonava d. mun.,2016,4
,Kaišiadorys d. mun.,2016,
,Kaunas c. mun.,2016,36
,Kaunas d. mun.,2016,4
,Kėdainiai d. mun.,2016,5
,Prienai d. mun.,2016,
,Raseiniai d. mun.,2016,2
,Klaipėda county,2016,34
,Klaipėda c. mun.,2016,27
,Klaipėda d. mun.,2016,2
,Kretinga d. mun.,2016,2
,Neringa mun.,2016,
,Palanga t. mun.,2016,1
,Skuodas d. mun.,2016,
,Šilutė d. mun.,2016,2
,Marijampolė county,2016,14
,Kalvarija mun.,2016,
,Kazlų Rūda mun.,2016,
,Marijampolė mun.,2016,10
,Marijampolė d. mun.,2016,
,Šakiai d. mun.,2016,2
,Vilkaviškis d. mun.,2016,2
,Panevėžys county,2016,25
,Biržai d. mun.,2016,2
,Kupiškis d. mun.,2016,
,Panevėžys c. mun.,2016,18
,Panevėžys d. mun.,2016,1
,Pasvalys d. mun.,2016,2
,Rokiškis d. mun.,2016,2
,Šiauliai county,2016,33
,Akmenė d. mun.,2016,
,Joniškis d. mun.,2016,1
,Kelmė d. mun.,2016,1
,Pakruojis d. mun.,2016,1
,Radviliškis d. mun.,2016,2
,Šiauliai c. mun.,2016,28
,Šiauliai d. mun.,2016,
,Tauragė county,2016,4
,Jurbarkas d. mun.,2016,2
,Pagėgiai mun.,2016,
,Šilalė d. mun.,2016,
,Tauragė d. mun.,2016,2
,Telšiai county,2016,14
,Mažeikiai d. mun.,2016,5
,Plungė d. mun.,2016,4
,Rietavas mun.,2016,1
,Telšiai d. mun.,2016,4
,Utena county,2016,12
,Anykščiai d. mun.,2016,
,Ignalina d. mun.,2016,1
,Molėtai d. mun.,2016,
,Utena d. mun.,2016,9
,Visaginas mun.,2016,2
,Zarasai d. mun.,2016,
,Vilnius county,2016,133
,Elektrėnai mun.,2016,2
,Šalčininkai d. mun.,2016,1
,Širvintos d. mun.,2016,
,Švenčionys d. mun.,2016,
,Trakai d. mun.,2016,2
,Ukmergė d. mun.,2016,2
,Vilnius c. mun.,2016,121
,Vilnius d. mun.,2016,5
500–999 employees,Republic of Lithuania,2016,141
,Alytus county,2016,4
,Alytus t. mun.,2016,3
,Alytus d. mun.,2016,
,Druskininkai mun.,2016,1
,Lazdijai d. mun.,2016,
,Varėna d. mun.,2016,
,Kaunas county,2016,30
,Birštonas mun.,2016,
,Jonava d. mun.,2016,
,Kaišiadorys d. mun.,2016,2
,Kaunas c. mun.,2016,21
,Kaunas d. mun.,2016,3
,Kėdainiai d. mun.,2016,3
,Prienai d. mun.,2016,
,Raseiniai d. mun.,2016,1
,Klaipėda county,2016,12
,Klaipėda c. mun.,2016,5
,Klaipėda d. mun.,2016,4
,Kretinga d. mun.,2016,1
,Neringa mun.,2016,
,Palanga t. mun.,2016,
,Skuodas d. mun.,2016,
,Šilutė d. mun.,2016,2
,Marijampolė county,2016,4
,Kalvarija mun.,2016,
,Kazlų Rūda mun.,2016,1
,Marijampolė mun.,2016,3
,Marijampolė d. mun.,2016,
,Šakiai d. mun.,2016,
,Vilkaviškis d. mun.,2016,
,Panevėžys county,2016,5
,Biržai d. mun.,2016,
,Kupiškis d. mun.,2016,
,Panevėžys c. mun.,2016,5
,Panevėžys d. mun.,2016,
,Pasvalys d. mun.,2016,
,Rokiškis d. mun.,2016,
,Šiauliai county,2016,5
,Akmenė d. mun.,2016,1
,Joniškis d. mun.,2016,
,Kelmė d. mun.,2016,
,Pakruojis d. mun.,2016,
,Radviliškis d. mun.,2016,
,Šiauliai c. mun.,2016,3
,Šiauliai d. mun.,2016,1
,Tauragė county,2016,1
,Jurbarkas d. mun.,2016,
,Pagėgiai mun.,2016,1
,Šilalė d. mun.,2016,
,Tauragė d. mun.,2016,
,Telšiai county,2016,2
,Mažeikiai d. mun.,2016,1
,Plungė d. mun.,2016,1
,Rietavas mun.,2016,
,Telšiai d. mun.,2016,
,Utena county,2016,5
,Anykščiai d. mun.,2016,
,Ignalina d. mun.,2016,
,Molėtai d. mun.,2016,
,Utena d. mun.,2016,3
,Visaginas mun.,2016,2
,Zarasai d. mun.,2016,
,Vilnius county,2016,73
,Elektrėnai mun.,2016,1
,Šalčininkai d. mun.,2016,
,Širvintos d. mun.,2016,
,Švenčionys d. mun.,2016,
,Trakai d. mun.,2016,1
,Ukmergė d. mun.,2016,
,Vilnius c. mun.,2016,70
,Vilnius d. mun.,2016,1
1 000 and more employees,Republic of Lithuania,2016,64
,Alytus county,2016,
,Alytus t. mun.,2016,
,Alytus d. mun.,2016,
,Druskininkai mun.,2016,
,Lazdijai d. mun.,2016,
,Varėna d. mun.,2016,
,Kaunas county,2016,11
,Birštonas mun.,2016,
,Jonava d. mun.,2016,1
,Kaišiadorys d. mun.,2016,
,Kaunas c. mun.,2016,10
,Kaunas d. mun.,2016,
,Kėdainiai d. mun.,2016,
,Prienai d. mun.,2016,
,Raseiniai d. mun.,2016,
,Klaipėda county,2016,6
,Klaipėda c. mun.,2016,6
,Klaipėda d. mun.,2016,
,Kretinga d. mun.,2016,
,Neringa mun.,2016,
,Palanga t. mun.,2016,
,Skuodas d. mun.,2016,
,Šilutė d. mun.,2016,
,Marijampolė county,2016,
,Kalvarija mun.,2016,
,Kazlų Rūda mun.,2016,
,Marijampolė mun.,2016,
,Marijampolė d. mun.,2016,
,Šakiai d. mun.,2016,
,Vilkaviškis d. mun.,2016,
,Panevėžys county,2016,2
,Biržai d. mun.,2016,
,Kupiškis d. mun.,2016,
,Panevėžys c. mun.,2016,1
,Panevėžys d. mun.,2016,
,Pasvalys d. mun.,2016,
,Rokiškis d. mun.,2016,1
,Šiauliai county,2016,1
,Akmenė d. mun.,2016,
,Joniškis d. mun.,2016,
,Kelmė d. mun.,2016,
,Pakruojis d. mun.,2016,
,Radviliškis d. mun.,2016,
,Šiauliai c. mun.,2016,1
,Šiauliai d. mun.,2016,
,Tauragė county,2016,
,Jurbarkas d. mun.,2016,
,Pagėgiai mun.,2016,
,Šilalė d. mun.,2016,
,Tauragė d. mun.,2016,
,Telšiai county,2016,2
,Mažeikiai d. mun.,2016,1
,Plungė d. mun.,2016,
,Rietavas mun.,2016,
,Telšiai d. mun.,2016,1
,Utena county,2016,1
,Anykščiai d. mun.,2016,
,Ignalina d. mun.,2016,
,Molėtai d. mun.,2016,
,Utena d. mun.,2016,
,Visaginas mun.,2016,1
,Zarasai d. mun.,2016,
,Vilnius county,2016,41
,Elektrėnai mun.,2016,1
,Šalčininkai d. mun.,2016,
,Širvintos d. mun.,2016,
,Švenčionys d. mun.,2016,1
,Trakai d. mun.,2016,
,Ukmergė d. mun.,2016,
,Vilnius c. mun.,2016,37
,Vilnius d. mun.,2016,2
