Age,Municipality,Sex,Time_period,Resident_population_at_the_beginning_of_the_year_persons,Country,County
Pension age population,Pakruojis d. mun.,Females,2016,3423,Republic of Lithuania,Siauliai county
Pension age population,Radviliškis d. mun.,Males,2016,2933,Republic of Lithuania,Siauliai county
Pension age population,Radviliškis d. mun.,Females,2016,6131,Republic of Lithuania,Siauliai county
Pension age population,Šiauliai c. mun.,Males,2016,7035,Republic of Lithuania,Siauliai county
Pension age population,Šiauliai c. mun.,Females,2016,15952,Republic of Lithuania,Siauliai county
Pension age population,Šiauliai d. mun.,Males,2016,3302,Republic of Lithuania,Siauliai county
Pension age population,Šiauliai d. mun.,Females,2016,6248,Republic of Lithuania,Siauliai county
Pension age population,Jurbarkas d. mun.,Males,2016,2204,Republic of Lithuania,Taurage county
Pension age population,Jurbarkas d. mun.,Females,2016,4678,Republic of Lithuania,Taurage county
Pension age population,Pagėgiai mun.,Males,2016,551,Republic of Lithuania,Taurage county
Pension age population,Pagėgiai mun.,Females,2016,1247,Republic of Lithuania,Taurage county
Pension age population,Šilalė d. mun.,Males,2016,1721,Republic of Lithuania,Taurage county
Pension age population,Šilalė d. mun.,Females,2016,3399,Republic of Lithuania,Taurage county
Pension age population,Tauragė d. mun.,Males,2016,3021,Republic of Lithuania,Taurage county
Pension age population,Tauragė d. mun.,Females,2016,6369,Republic of Lithuania,Taurage county
Pension age population,Mažeikiai d. mun.,Males,2016,3499,Republic of Lithuania,Telsiai county
Pension age population,Mažeikiai d. mun.,Females,2016,7174,Republic of Lithuania,Telsiai county
Pension age population,Plungė d. mun.,Males,2016,2634,Republic of Lithuania,Telsiai county
Pension age population,Plungė d. mun.,Females,2016,5115,Republic of Lithuania,Telsiai county
Pension age population,Rietavas mun.,Males,2016,582,Republic of Lithuania,Telsiai county
Pension age population,Rietavas mun.,Females,2016,1164,Republic of Lithuania,Telsiai county
Pension age population,Telšiai d. mun.,Males,2016,3404,Republic of Lithuania,Telsiai county
Pension age population,Telšiai d. mun.,Females,2016,6818,Republic of Lithuania,Telsiai county
Pension age population,Anykščiai d. mun.,Males,2016,2519,Republic of Lithuania,Utena county
Pension age population,Anykščiai d. mun.,Females,2016,5032,Republic of Lithuania,Utena county
Pension age population,Ignalina d. mun.,Males,2016,1647,Republic of Lithuania,Utena county
Pension age population,Ignalina d. mun.,Females,2016,3344,Republic of Lithuania,Utena county
Pension age population,Molėtai d. mun.,Males,2016,1735,Republic of Lithuania,Utena county
Pension age population,Molėtai d. mun.,Females,2016,3408,Republic of Lithuania,Utena county
Pension age population,Utena d. mun.,Males,2016,3331,Republic of Lithuania,Utena county
Pension age population,Utena d. mun.,Females,2016,6746,Republic of Lithuania,Utena county
Pension age population,Visaginas mun.,Males,2016,1381,Republic of Lithuania,Utena county
Pension age population,Visaginas mun.,Females,2016,2657,Republic of Lithuania,Utena county
Pension age population,Zarasai d. mun.,Males,2016,1503,Republic of Lithuania,Utena county
Pension age population,Zarasai d. mun.,Females,2016,3118,Republic of Lithuania,Utena county
Pension age population,Elektrėnai mun.,Males,2016,1794,Republic of Lithuania,Vilnius county
Pension age population,Elektrėnai mun.,Females,2016,3470,Republic of Lithuania,Vilnius county
Pension age population,Šalčininkai d. mun.,Males,2016,2008,Republic of Lithuania,Vilnius county
Pension age population,Šalčininkai d. mun.,Females,2016,4354,Republic of Lithuania,Vilnius county
Pension age population,Širvintos d. mun.,Males,2016,1235,Republic of Lithuania,Vilnius county
Pension age population,Širvintos d. mun.,Females,2016,2645,Republic of Lithuania,Vilnius county
Pension age population,Švenčionys d. mun.,Males,2016,2109,Republic of Lithuania,Vilnius county
Pension age population,Švenčionys d. mun.,Females,2016,4321,Republic of Lithuania,Vilnius county
Pension age population,Trakai d. mun.,Males,2016,2241,Republic of Lithuania,Vilnius county
Pension age population,Trakai d. mun.,Females,2016,4688,Republic of Lithuania,Vilnius county
Pension age population,Ukmergė d. mun.,Males,2016,3151,Republic of Lithuania,Vilnius county
Pension age population,Ukmergė d. mun.,Females,2016,6675,Republic of Lithuania,Vilnius county
Pension age population,Vilnius c. mun.,Males,2016,32494,Republic of Lithuania,Vilnius county
Pension age population,Vilnius c. mun.,Females,2016,70615,Republic of Lithuania,Vilnius county
Pension age population,Vilnius d. mun.,Males,2016,5793,Republic of Lithuania,Vilnius county
Pension age population,Vilnius d. mun.,Females,2016,11042,Republic of Lithuania,Vilnius county
